Numéro,B_mean,G_mean,R_mean
1,222.0664705882353,210.8870588235294,190.62470588235294
2,174.26973684210526,143.67598684210526,119.62088815789474
3,137.29611650485438,125.95817774458551,116.91915608663182
4,114.51470588235294,118.16176470588235,122.66176470588235
5,128.52941176470588,124.6470588235294,117.94117647058823
6,81.05702917771883,75.67146646456992,72.42080333459644
7,110.06591517004203,107.29537638517387,106.97688192586932
8,117.69804313669476,102.10941294100843,89.58605913440937
9,136.70325339594163,122.4122924702331,96.12133154452457
10,119.91216655823033,108.67501626545219,91.87247885491216
11,142.2819095477387,138.08090452261305,121.51532663316583
12,123.4,115.5,104.8
13,106.3225806451613,105.96774193548387,115.54838709677419
14,98.10650623885918,96.06595365418895,93.24955436720143
15,86.2741935483871,91.83870967741936,93.66129032258064
16,181.46931853222324,170.9108849830404,156.0385445575085
17,151.28439127918193,142.21454755932857,129.6044761721011
18,103.50696455661289,100.13446421183285,99.87201765273755
19,70.88709677419355,71.24193548387096,72.70967741935483
20,85.07364685004437,82.64773735581188,85.0399290150843
21,118.774811895378,113.74435686134002,105.04908634897886
22,150.3215067893123,142.72010512483575,134.67915024091107
23,84.03348416289593,85.1737556561086,88.26515837104073
24,120.65271334556047,118.35036141978638,107.39119646132269
25,105.85063291139241,107.00759493670886,87.72405063291139
26,101.71428571428571,101.71428571428571,96.48979591836735
27,91.32573018080667,83.43337969401946,75.02141863699583
28,163.95621755811328,155.9486571879937,138.3496953283683
29,95.34931506849315,88.4041095890411,79.57534246575342
30,101.44257703081233,96.84313725490196,92.08823529411765
31,107.95638675340035,99.4925586438005,87.80016755371575
