Numéro,B_mean,G_mean,R_mean
1,130.17708333333334,129.10416666666666,104.78645833333333
2,101.44791666666667,97.95052083333333,80.60329861111111
3,144.9895928986838,137.10743801652893,112.87419651056015
4,137.34204425711275,133.63877766069547,111.35237091675448
5,175.2941176470588,170.23529411764707,163.88235294117646
6,89.7877094972067,82.24581005586592,73.3463687150838
7,124.35308025745435,117.03480887954814,104.95639038486799
8,153.6201205510907,147.18628013777268,138.3391216991963
9,91.03846153846153,86.34265734265735,82.54545454545455
10,109.86092214663643,102.95918367346938,96.32426303854875
11,85.85205479452055,86.64383561643835,83.59178082191781
12,100.19540229885058,96.9080459770115,91.34482758620689
13,147.0643436151174,138.89390462153912,124.62865564796294
14,97.23896393259992,87.97270575128812,82.85656593789166
15,96.35308198683423,92.82824655894674,88.2980251346499
16,70.79166666666667,68.375,63.166666666666664
17,114.89353128313891,113.10986214209969,92.38960763520679
18,70.17021276595744,65.70212765957447,66.08510638297872
19,73.53125,67.03125,70.0
20,63.294093851132686,60.582928802588995,58.53681229773463
21,111.05639097744361,101.99624060150376,98.7406015037594
22,77.0,75.02631578947368,65.73684210526316
23,82.54033412887829,81.27589498806682,72.64988066825775
24,158.43069482128112,145.37996932877198,130.74814203137902
25,92.08071748878923,91.13004484304933,75.37668161434978
26,88.68571428571428,94.0,96.74285714285715
27,147.81623931623932,136.12820512820514,114.33974358974359
28,116.35728882833787,102.558242506812,86.9308583106267
29,117.11155950752394,108.59917920656635,90.94541723666211
30,83.67123287671232,82.91780821917808,82.43835616438356
31,60.3524838012959,58.823758099352055,57.76241900647948
32,87.02132936507937,84.93105158730158,82.6016865079365
33,78.64248084291188,76.34291187739464,74.356561302682
34,102.68181818181819,97.95454545454545,102.0
35,87.6088379705401,86.29787234042553,93.79950900163666
36,170.683654106804,148.9707237733803,118.7012740580103
37,91.27799227799228,88.58301158301158,86.67181467181467
38,174.48010418173925,163.39719288091447,137.01041817392561
39,80.7886407977455,77.7617602427921,76.0463906351615
40,134.2422619047619,120.07976190476191,103.29702380952381
41,162.05106382978724,140.31489361702128,127.24893617021277
42,140.8147044212618,135.48782911077993,114.34012253684385
43,75.94117647058823,70.65751633986928,65.98954248366013
44,171.69730363423213,157.89589683470106,135.95896834701054
