Numéro,B_mean,G_mean,R_mean
1,180.8232558139535,171.7186046511628,163.89069767441862
2,197.03135888501743,185.130081300813,171.65969802555168
3,114.654550423613,115.14320852691992,94.55233670401749
4,109.45,104.95,98.0
5,187.13333333333333,183.93333333333334,181.75
6,89.92592592592592,88.14814814814815,80.37037037037037
7,112.71875,112.125,123.0
8,95.96412352406902,91.59657886769604,87.28564940962761
9,123.81959540277705,118.23552966872953,105.05959748296843
10,82.18213058419244,81.38144329896907,84.0704467353952
11,89.63858695652173,87.20923913043478,85.8179347826087
12,109.1034877072613,105.7347055460263,98.30131503716409
13,91.58061801130215,87.36659853312493,82.04761332211133
14,80.03701838327878,78.19289851422815,73.00881390078067
15,132.28919021327272,123.95848219118761,100.74401862076432
16,96.82322006472492,92.20995145631068,82.64522653721683
17,134.9516129032258,124.0,109.33870967741936
18,128.91796593907412,125.90309426721036,123.31158551211321
19,165.5908613445378,158.2297794117647,150.4122899159664
20,138.98152376998132,121.98214656425161,103.05480589578576
21,181.26610333841253,170.60548552431084,155.23659786674054
22,93.87984375,91.24,91.17625
23,108.83870967741936,92.6774193548387,77.87096774193549
24,192.89282566543275,168.32734003172925,140.8880662788648
25,114.9307266784008,107.77030424943425,91.4800519654681
26,143.62140992167102,130.1644908616188,108.41253263707571
