Numéro,B_mean,G_mean,R_mean
1,106.2,107.0,95.8
2,102.88074204946996,100.96687279151944,101.17756183745583
3,175.906449044586,160.3184713375796,138.76154458598725
4,217.2738390092879,202.23962848297214,182.8904024767802
5,193.57378077465893,168.8248392661126,151.75380272855574
6,154.40642640034739,144.49370386452452,129.4876248371689
7,69.75390334572491,69.28475836431227,69.60706319702602
8,180.97645920670752,163.91422121896161,156.36697839406642
9,155.25990491283676,152.276941362916,153.9350237717908
10,94.83716965046888,93.1227621483376,90.88093208297812
11,181.45673274094327,165.50642515379357,148.45516062884485
12,152.343797856049,145.49004594180704,125.2530627871363
13,184.40440343208678,156.47385462198477,128.4889104743403
14,131.58254716981133,115.4504716981132,92.3879716981132
15,57.76589545844045,57.58971722365039,58.58080548414738
16,130.57966540529776,128.01981676956783,112.41953794064928
17,117.02494802494803,114.96049896049897,117.54261954261955
18,92.7,91.1,93.76666666666667
19,79.14958061509786,78.35041938490214,80.36439888164026
20,92.34516129032258,90.21290322580646,95.04838709677419
