Numéro,B_mean,G_mean,R_mean
1,113.34814814814816,113.4962962962963,88.97777777777777
2,114.06666666666666,114.13333333333334,106.46666666666667
3,120.25238095238095,110.73095238095237,87.32857142857142
4,118.6780487804878,115.61726078799249,98.88517823639775
5,114.2390713239908,113.51077180506171,92.57080108763857
6,80.58015267175573,80.1498959056211,81.40666204024983
7,102.03042328042328,98.3776455026455,88.23511904761905
8,84.57464212678937,85.1676891615542,86.2719836400818
9,99.31395348837209,100.09302325581395,98.86046511627907
10,95.19626168224299,93.67289719626169,88.0607476635514
11,99.84729064039409,99.86042692939245,96.2200328407225
12,139.63905841325197,126.72885789014822,106.45992651637813
13,169.17246753246752,163.53922077922078,155.08623376623376
14,96.88489208633094,98.23741007194245,103.5179856115108
15,83.92357547934107,82.09640831758034,80.69970294355927
16,108.0952380952381,106.71428571428571,106.04761904761905
17,106.1923076923077,99.6923076923077,108.07692307692308
18,87.585,86.845,87.335
19,146.7605823068309,136.16730123180292,100.03896976483763
20,89.00322061191626,89.13319530710835,84.46928916494134
21,107.0,111.88235294117646,112.52941176470588
22,95.58329035585353,95.62042289840124,95.3904074265085
23,121.72207267833109,112.96803499327052,97.50471063257066
24,106.97260273972603,101.75890410958904,92.92876712328767
25,94.12868217054263,92.39302325581396,90.71240310077519
26,135.08107072126748,116.37258033603781,108.10541110330288
27,161.10016055329135,154.95022847968383,146.39767815240214
28,74.24561869357409,71.30616038236856,64.92033988316516
29,160.2215069495245,150.0370153621068,127.5940014630578
30,81.74,78.62,73.84
31,78.91125954198473,78.27385496183206,78.1145038167939
32,82.83984375,81.2265625,77.4375
33,79.1560773480663,80.2486187845304,71.43991712707182
34,80.1608187134503,83.39473684210526,87.0672514619883
35,91.32960893854748,89.87709497206704,88.23463687150839
36,103.94117647058823,109.0,112.76470588235294
37,82.41025641025641,83.12820512820512,80.01282051282051
38,115.35555555555555,112.02222222222223,105.6
39,159.99490464405298,142.2476342990246,114.68991119522492
40,83.1820652173913,81.4116847826087,83.91711956521739
41,125.97186932849365,112.61433756805808,96.51043557168784
42,155.26988460106713,144.94689167390496,131.89179798982505
43,156.35968927729226,141.77222915799695,117.23720349563047
44,125.79242277717731,115.00466465669264,100.02685021901132
45,131.80700460829493,120.18285714285715,102.04921658986176
